schema,text,process,pull,push
S2,5Ko,2.398034,0.054537999999999996,1.058603
S2,5Ko,2.427111,0.03625,1.121081
S2,5Ko,2.4280980000000003,0.154231,1.095928
S2,5Ko,2.396969,0.034066,1.087139
S2,5Ko,2.411988,0.036826,1.103378
S2,5Ko,2.402062,0.035989,1.006167
S2,5Ko,2.417471,0.035163,1.09389
S2,5Ko,2.3974089999999997,0.036003,1.153682
S2,5Ko,2.422358,0.149005,1.055496
S2,5Ko,2.429982,0.034503,0.9900329999999999
S2,5Ko,2.439364,0.034866999999999995,1.054796
S2,5Ko,2.37372,0.036432,1.044387
S2,5Ko,2.406832,0.036384,1.091445
S2,5Ko,2.421005,0.035008,1.103544
S2,5Ko,2.4244529999999997,0.039553,1.0468870000000001
S2,5Ko,2.428817,0.195465,1.026254
S2,5Ko,2.403899,0.035568,1.041481
S2,12Ko,5.814406,0.051685999999999996,2.108092
S2,12Ko,5.775026,0.044711,2.031201
S2,12Ko,5.809389,0.041375,2.1619
S2,12Ko,5.835160999999999,0.197333,1.92301
S2,12Ko,5.805804,0.04336,2.333634
S2,12Ko,5.722075,0.042055999999999996,2.021092
S2,12Ko,5.80729,0.041938,1.984772
S2,12Ko,5.812734,0.043404,2.183569
S2,12Ko,5.819499,0.042619000000000004,2.1990309999999997
S2,12Ko,5.799163,0.04312,2.115437
S2,12Ko,5.831881,0.042364,1.9006020000000001
S2,12Ko,5.830657,0.041969,2.217562
S2,12Ko,5.777017,0.165453,2.067315
S2,12Ko,5.872301,0.043569000000000004,1.667766
S2,12Ko,5.781858000000001,0.042661000000000004,2.012824
S2,12Ko,5.76902,0.042132,2.037477
S2,12Ko,5.812663,0.055119,2.244511
S2,12Ko,5.893957,0.045730999999999994,1.964906
S2,12Ko,5.857937000000001,0.041192,2.180407
S2,12Ko,5.785425,0.041513,2.171545
S2,12Ko,5.82852,0.046425,2.183438
S2,12Ko,5.8046,0.160762,1.775045
S2,12Ko,5.762978,0.041964,1.928072
S2,12Ko,5.821934,0.042802,1.7494859999999999
S2,12Ko,5.861868,0.042800000000000005,2.02414
S2,12Ko,5.861444,0.042104,1.893768
S2,12Ko,5.890106,0.043122,1.763094
S2,12Ko,5.7751660000000005,0.042424,2.038768
S2,12Ko,5.841413,0.041123,1.8958249999999999
S2,12Ko,5.81579,0.042049,1.643165
S3,1Ko,0.8633700000000001,0.110228,1.855552
S3,1Ko,0.848256,0.102107,1.305634
S3,1Ko,0.854131,0.10109800000000001,1.245829
S3,1Ko,0.8489660000000001,0.102214,1.2219069999999999
S3,1Ko,0.8492580000000001,0.099928,1.1974690000000001
S3,1Ko,0.857638,0.22145499999999999,1.207472
S3,1Ko,0.848965,0.10189200000000001,1.217737
S3,1Ko,0.859383,0.10861499999999999,1.177662
S3,1Ko,0.846098,0.10701300000000001,1.25361
S3,1Ko,0.866746,0.098077,1.3052050000000002
S3,1Ko,0.859867,0.105768,1.187084
S3,1Ko,0.861205,0.103045,1.105316
S3,1Ko,0.8507690000000001,0.09626699999999999,1.15105
S3,1Ko,0.850729,0.373079,1.2316
S3,1Ko,0.8612000000000001,0.10646,1.5145529999999998
S3,1Ko,0.8496020000000001,0.09829,1.257223
S3,1Ko,0.857075,0.10638,1.5885390000000001
S3,1Ko,0.8553459999999999,0.105788,1.24241
S3,1Ko,0.84877,0.097971,1.291181
S3,1Ko,0.84848,0.099218,1.285188
S3,1Ko,0.8571409999999999,0.101412,1.2722390000000001
S3,1Ko,0.8331729999999999,0.360053,1.152269
S3,1Ko,0.8452329999999999,0.101579,1.337784
S3,1Ko,0.8584309999999999,0.102165,1.146015
S3,1Ko,0.865527,0.10262399999999999,1.3161589999999999
S3,1Ko,0.8539610000000001,0.101022,1.1928539999999999
S3,1Ko,0.84925,0.09939799999999999,1.2273980000000002
S3,1Ko,0.855619,0.10286400000000001,1.115574
S3,1Ko,0.845437,0.102246,1.2105000000000001
S3,1Ko,0.854085,0.40734800000000004,1.2657550000000002
S3,5Ko,2.421706,0.141537,2.268641
S3,5Ko,2.451276,0.130239,2.175774
S3,5Ko,2.457521,0.130382,2.647992
S3,5Ko,2.4405609999999998,0.138805,2.2517579999999997
S3,5Ko,2.415321,0.16761700000000002,2.3678280000000003
S3,5Ko,2.4272039999999997,0.401184,2.518557
S3,5Ko,2.450304,0.135991,2.8068049999999998
S3,5Ko,2.4590609999999997,0.132882,2.302382
S3,5Ko,2.418996,0.133801,2.481981
S3,5Ko,2.44667,0.12914799999999999,2.050476
S3,5Ko,2.4454439999999997,0.132903,2.323248
S3,5Ko,2.4772790000000002,0.316841,2.228872
S3,5Ko,2.4499,0.129053,2.181757
S3,5Ko,2.430858,0.1622,2.3793189999999997
S3,5Ko,2.448613,0.134064,2.164078
S3,5Ko,2.428525,0.12948,2.4886
S3,5Ko,2.42891,0.127709,2.3337870000000005
S3,5Ko,2.44941,0.39795500000000006,2.394831
S3,5Ko,2.454605,0.130058,2.157654
S3,5Ko,2.461345,0.129765,2.226371
S3,5Ko,2.417692,0.136529,2.3470109999999997
S3,5Ko,2.44527,0.15375499999999998,1.991852
S3,5Ko,2.461586,0.13072499999999998,2.29778
S3,5Ko,2.46102,0.379428,2.224157
S3,5Ko,2.453939,0.132798,3.167716
S3,5Ko,2.433715,0.141348,2.6585270000000003
S3,5Ko,2.468701,0.135131,2.322102
S3,5Ko,2.449958,0.132635,2.299626
S3,5Ko,2.45769,0.136877,2.556945
S3,5Ko,2.436,0.413347,2.429255
S3,12Ko,6.153599000000001,0.237596,3.81558
S3,12Ko,6.023477,0.237054,4.441105
S3,12Ko,5.983181,0.213576,4.563276
S3,12Ko,6.126567,0.485913,3.840247
S3,12Ko,5.987947,0.248804,4.126785
S3,12Ko,6.138456,0.2383,3.849407
S3,12Ko,5.929857999999999,0.236335,3.900972
S3,12Ko,5.904405,0.618098,4.284128
S3,12Ko,6.163143,0.23891300000000001,4.398053
S3,12Ko,6.04855,0.23741,3.999703
S3,12Ko,6.123877,0.237671,3.7646919999999997
S3,12Ko,6.046284,0.48816499999999996,3.567365
S3,12Ko,6.1568819999999995,0.21373699999999998,4.079133000000001
S3,12Ko,6.181102,0.213547,4.187012
S3,12Ko,6.089647,0.218814,4.407654999999999
S3,12Ko,6.116314,0.504866,4.183342000000001
S3,12Ko,6.189039,0.23238499999999998,4.3378250000000005
S3,12Ko,6.097963,0.218373,4.4740079999999995
