duration_seconds,cpu0_package_joules,cpu0_dram_joules,cpu1_package_joules,cpu1_dram_joules,schema,text
1.476818,144.871887,18.518845,138.191345,17.687259,S2,1Ko
1.504460,148.197327,18.885983,140.263000,18.008911,S2,1Ko
1.524421,149.332031,19.087010,142.766357,18.306450,S2,1Ko
1.702615,167.291443,21.342444,158.733154,20.322332,S2,1Ko
1.527036,149.757812,19.127066,142.952454,18.289972,S2,1Ko
1.577052,153.150574,19.701412,149.622925,18.891491,S2,1Ko
1.517711,149.335510,19.037423,141.444580,18.138395,S2,1Ko
1.729342,170.489197,21.778372,161.525940,20.769872,S2,1Ko
1.604972,157.792542,20.121979,149.565247,19.167947,S2,1Ko
1.544233,152.055054,19.378858,143.959961,18.455778,S2,1Ko
1.510310,148.802002,18.980140,140.725952,18.053862,S2,1Ko
1.643724,162.016602,20.606820,153.236328,19.612305,S2,1Ko
1.569718,153.773376,19.661387,146.766418,18.823850,S2,1Ko
1.529457,149.908264,19.129116,143.217896,18.322071,S2,1Ko
1.580469,155.208618,19.776551,147.898804,18.936320,S2,1Ko
1.598430,157.006165,20.018321,148.811218,19.080202,S2,1Ko
1.576770,154.534607,19.707701,147.762817,18.915864,S2,1Ko
1.668000,164.020752,20.958016,155.550171,20.029230,S2,1Ko
1.498935,146.840271,18.752277,140.214050,17.975174,S2,1Ko
1.660828,162.838806,20.752721,155.220703,19.900955,S2,1Ko
1.559889,153.481079,19.537488,145.903320,18.661793,S2,1Ko
1.536795,150.939880,19.227020,144.005066,18.406191,S2,1Ko
1.532995,150.096802,19.188602,143.420654,18.403100,S2,1Ko
1.584930,155.743286,19.897803,147.698425,18.996664,S2,1Ko
1.551116,152.110291,19.409809,145.180908,18.603805,S2,1Ko
3.601694,355.505554,45.087876,335.039368,42.883483,S2,5Ko
3.592546,352.966492,44.780973,335.657410,42.876720,S2,5Ko
3.675460,361.828247,45.743068,343.192200,43.911367,S2,5Ko
3.509191,345.645264,43.740390,328.003235,41.877431,S2,5Ko
3.485440,342.252014,43.468692,325.655029,41.614042,S2,5Ko
3.817092,375.744385,47.663983,356.027771,45.504419,S2,5Ko
3.478280,342.835388,43.539853,323.618774,41.431589,S2,5Ko
3.697459,364.034302,46.057636,345.167786,44.082054,S2,5Ko
3.667617,360.476562,45.822506,342.239075,43.669520,S2,5Ko
3.526403,347.790588,44.113893,327.933411,42.001529,S2,5Ko
