schema,     text,       watts, milliseconds
    S1,  1Ko.txt,   42403.080,   115467.564
    S1,  3Ko.txt,  107190.989,   249262.438
    S1,  5Ko.txt,  160603.271,   363078.001
    S1,  9Ko.txt,  278522.451,   604268.818
    S1, 12Ko.txt,  388102.706,   837879.650
    S1, 14Ko.txt,  430718.207,   910670.860
    S1, 16Ko.txt,  485116.435,  1015760.954
    S2,  1Ko.txt,   52492.677,   219851.547
    S2,  3Ko.txt,  126435.446,   391674.917
    S2,  5Ko.txt,  193287.254,   538565.240
    S2,  9Ko.txt,  342626.386,   921874.453
    S2, 12Ko.txt,  438888.742,  1261782.056
    S2, 14Ko.txt,  510768.351,  1509760.374
    S2, 16Ko.txt,  583044.908,  1678882.105
    S3,  1Ko.txt,  429867.963,  1243042.256
    S3,  3Ko.txt,  518984.696,  1451780.162
    S3,  5Ko.txt,  595141.223,  1613563.852
    S3,  9Ko.txt,  761112.335,  2013382.241
    S3, 12Ko.txt,  881260.327,  2949565.231
    S3, 14Ko.txt,  953891.441,  3312679.124
    S3, 16Ko.txt, 1033218.576,  3671269.086
    S4,  1Ko.txt,  373176.812,   606767.210
    S4,  3Ko.txt,  455739.348,   768967.064
    S4,  5Ko.txt,  524062.953,   898174.249
    S4,  9Ko.txt,  678734.585,  1189773.606
    S4, 12Ko.txt,  876621.344,  1480963.934
    S4, 14Ko.txt,  900256.933,  1610767.598
    S4, 16Ko.txt,  964691.934,  1778369.778
    S5,  1Ko.txt,  861680.997,  2068770.023
    S5,  3Ko.txt,  934458.408,  2247771.227
    S5,  5Ko.txt, 1031849.018,  2426369.730
    S5,  9Ko.txt, 1166233.848,  2765362.734
    S5, 12Ko.txt, 1262167.522,  3046477.852
    S5, 14Ko.txt, 1336693.291,  3394166.230
    S5, 16Ko.txt, 1418886.310,  3867858.198
